epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,2802.57,0.29964,0.2191,0.83754,0.99951,1,0.995,0.9752,0.26141,0.15973,0.81927,0.0007427,0.0007427,0.0007427
129,2824.49,0.30918,0.22449,0.85073,0.99951,1,0.995,0.97292,0.25945,0.15766,0.81749,0.0007328,0.0007328,0.0007328
130,2846.24,0.29953,0.21998,0.85031,0.9995,1,0.995,0.96459,0.2636,0.158,0.8164,0.0007229,0.0007229,0.0007229
131,2868.02,0.30566,0.22207,0.84744,0.99952,1,0.995,0.9692,0.25808,0.16197,0.81659,0.000713,0.000713,0.000713
132,2889.95,0.306,0.2206,0.84292,0.9995,1,0.995,0.97211,0.27384,0.16329,0.82017,0.0007031,0.0007031,0.0007031
133,2912.02,0.30681,0.21876,0.84286,0.99946,1,0.995,0.96684,0.26069,0.16084,0.81894,0.0006932,0.0006932,0.0006932
134,2933.66,0.2943,0.21948,0.84366,0.9995,1,0.995,0.96899,0.25042,0.154,0.81536,0.0006833,0.0006833,0.0006833
135,2955.13,0.30431,0.21835,0.84937,0.99949,1,0.995,0.97064,0.25613,0.15997,0.81805,0.0006734,0.0006734,0.0006734
136,2976.47,0.30381,0.21674,0.84399,0.9995,1,0.995,0.97244,0.27453,0.16678,0.82426,0.0006635,0.0006635,0.0006635
137,2997.59,0.29382,0.21747,0.83888,0.99948,1,0.995,0.98051,0.2453,0.15898,0.81753,0.0006536,0.0006536,0.0006536
138,3018.87,0.28066,0.2071,0.83555,0.99948,1,0.995,0.97303,0.25458,0.15278,0.81943,0.0006437,0.0006437,0.0006437
139,3040,0.29025,0.21181,0.84111,0.9995,1,0.995,0.9755,0.2531,0.15617,0.81971,0.0006338,0.0006338,0.0006338
140,3061.23,0.2948,0.21129,0.83784,0.9995,1,0.995,0.97513,0.25346,0.15551,0.81714,0.0006239,0.0006239,0.0006239
141,3082.43,0.29595,0.21244,0.84368,0.9995,1,0.995,0.97594,0.2524,0.15305,0.8186,0.000614,0.000614,0.000614
142,3103.84,0.29484,0.21497,0.84442,0.9995,1,0.995,0.97123,0.25778,0.15553,0.81628,0.0006041,0.0006041,0.0006041
143,3126.1,0.29516,0.21202,0.84106,0.9995,1,0.995,0.97164,0.25444,0.1515,0.81827,0.0005942,0.0005942,0.0005942
144,3147.96,0.29554,0.21266,0.84505,0.99949,1,0.995,0.97397,0.24819,0.15657,0.81691,0.0005843,0.0005843,0.0005843
145,3169.8,0.28387,0.20659,0.84471,0.9995,1,0.995,0.97428,0.25823,0.16421,0.81863,0.0005744,0.0005744,0.0005744
146,3191.69,0.28655,0.21154,0.8432,0.99947,1,0.995,0.97606,0.25134,0.15296,0.81588,0.0005645,0.0005645,0.0005645
147,3213.68,0.2915,0.21091,0.85071,0.9995,1,0.995,0.97558,0.25083,0.15914,0.81727,0.0005546,0.0005546,0.0005546
148,3235.68,0.28719,0.20885,0.8435,0.9995,1,0.995,0.97938,0.26447,0.15927,0.81952,0.0005447,0.0005447,0.0005447
149,3257.55,0.28308,0.20568,0.83376,0.99951,1,0.995,0.97578,0.24265,0.15159,0.81468,0.0005348,0.0005348,0.0005348
150,3279.48,0.28947,0.20776,0.83664,0.99949,1,0.995,0.97573,0.2531,0.15809,0.81499,0.0005249,0.0005249,0.0005249
151,3301.36,0.28914,0.20969,0.83567,0.9995,1,0.995,0.97776,0.24693,0.15839,0.81557,0.000515,0.000515,0.000515
152,3323.33,0.28054,0.20425,0.83063,0.99949,1,0.995,0.97872,0.24907,0.15744,0.8157,0.0005051,0.0005051,0.0005051
153,3345.28,0.28479,0.20576,0.83902,0.99951,1,0.995,0.97618,0.25851,0.15685,0.82088,0.0004952,0.0004952,0.0004952
154,3367.08,0.29038,0.20959,0.83968,0.9995,1,0.995,0.97447,0.25333,0.15345,0.81482,0.0004853,0.0004853,0.0004853
155,3389.09,0.29791,0.21203,0.8404,0.9995,1,0.995,0.9711,0.26049,0.15527,0.82021,0.0004754,0.0004754,0.0004754
156,3410.98,0.2824,0.20606,0.83783,0.99949,1,0.995,0.98191,0.24606,0.15372,0.81423,0.0004655,0.0004655,0.0004655
157,3432.95,0.27855,0.20077,0.83062,0.9995,1,0.995,0.97898,0.25295,0.15884,0.8179,0.0004556,0.0004556,0.0004556
158,3454.86,0.28501,0.20594,0.8384,0.9995,1,0.995,0.97576,0.24556,0.15262,0.81647,0.0004457,0.0004457,0.0004457
159,3476.87,0.28142,0.20248,0.83253,0.9995,1,0.995,0.97869,0.24707,0.1542,0.81344,0.0004358,0.0004358,0.0004358
160,3498.77,0.28449,0.20577,0.83456,0.9995,1,0.995,0.97287,0.24482,0.15501,0.81488,0.0004259,0.0004259,0.0004259
161,3520.77,0.28682,0.20447,0.83997,0.99949,1,0.995,0.97539,0.25481,0.16193,0.81482,0.000416,0.000416,0.000416
162,3542.7,0.27108,0.19734,0.83597,0.99949,1,0.995,0.97522,0.24757,0.15246,0.815,0.0004061,0.0004061,0.0004061
163,3564.63,0.28369,0.20211,0.8408,0.99948,1,0.995,0.97116,0.25287,0.15667,0.81446,0.0003962,0.0003962,0.0003962
164,3586.6,0.27842,0.20234,0.83613,0.99948,1,0.995,0.96975,0.25104,0.1478,0.81596,0.0003863,0.0003863,0.0003863
165,3608.44,0.27988,0.19814,0.83273,0.99951,1,0.995,0.97576,0.2405,0.15044,0.80985,0.0003764,0.0003764,0.0003764
